order_id,customer_name,email,phone,city,order_date,product,status,amount,month
31,Olga Sokolova,olga.sokolova @gmail.com,555501124,Riga,,T-shirt,pending,89.91,NaT
32,Alex Brown,alex.brown @gmail.com,555792094,Saint Petersburg,,T-shirt,cancelled,212.61,NaT
33,Ivan Kuznetsov,ivan.kuznetsov@mail.com,71121910732,Tallinn,,T-shirt,pending,119.33,NaT
34,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,3725557311,Berlin,,Bag,pending,67.11,NaT
35,Ivan Kuznetsov,,3725556409,Tallinn,2025-03-18,T-shirt,cancelled,161.13,2025-03
36,Olga Sokolova,,79337376324,Moscow,,Jeans,pending,58.96,NaT
37,Alex Brown,alex.brown@example.com,76192423780,Moscow,2025-02-24,Dress,pending,130.44,2025-02
38,Kate Miller,kate.miller@gmail.com,3725554848,Riga,,Dress,cancelled,22.02,NaT
39,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,3725557291,Moscow,2025-06-17,Boots,paid,53.59,2025-06
40,Maria Petrova,maria.petrova@example.com,555684482,Berlin,,T-shirt,cancelled,129.84,NaT
41,Ivan Kuznetsov,ivan.kuznetsov@example.com,555879779,Saint Petersburg,,Jacket,paid,156.92,NaT
42,Olga Sokolova,,555848206,Moscow,,Coat,paid,128.57,NaT
43,Alex Brown,alex.brown@example.com,555840734,Tallinn,,Sneakers,paid,114.22,NaT
44,Ivan Kuznetsov,ivan.kuznetsov@example.com,555998348,Tallinn,,Boots,cancelled,104.94,NaT
45,Alex Brown,alex.brown@example.com,3725554595,Tallinn,,Coat,cancelled,46.07,NaT
46,Maria Petrova,maria.petrova@gmail.com,70116402431,Moscow,,Sneakers,pending,84.01,NaT
47,Ivan Kuznetsov,ivan.kuznetsov@mail.com,555576786,Moscow,,Jacket,paid,96.97,NaT
48,Anna Ivanova,anna.ivanova@mail.com,3725554673,Riga,,Dress,paid,172.86,NaT
49,Maxim Orlov,maxim.orlov@mail.com,3725557043,Saint Petersburg,,Boots,cancelled,137.18,NaT
50,Alex Brown,alex.brown@gmail.com,73459716271,Tallinn,,Dress,cancelled,31.85,NaT
51,Kate Miller,kate.miller@gmail.com,555962276,Riga,2025-04-03,Coat,cancelled,136.2,2025-04
52,Maria Petrova,maria.petrova@mail.com,555912270,Saint Petersburg,,Dress,pending,100.75,NaT
53,Maxim Orlov,maxim.orlov @gmail.com,3725558613,Saint Petersburg,,T-shirt,pending,86.15,NaT
54,Kate Miller,kate.miller@mail.com,3725555526,Riga,,Bag,cancelled,150.58,NaT
55,Maxim Orlov,maxim.orlov@example.com,555197573,Berlin,,T-shirt,cancelled,171.55,NaT
56,Kate Miller,kate.miller@example.com,555468900,Saint Petersburg,,T-shirt,paid,166.56,NaT
57,Maria Petrova,maria.petrova @gmail.com,76374584386,Moscow,2025-05-31,Bag,pending,78.04,2025-05
58,Alex Brown,alex.brown@mail.com,78650701349,Moscow,,Jeans,paid,104.54,NaT
59,Maxim Orlov,maxim.orlov@gmail.com,555701949,Moscow,,Jeans,cancelled,136.56,NaT
60,John Smith,john.smith@gmail.com,78908115095,Berlin,,Jeans,paid,168.78,NaT
61,Alex Brown,alex.brown@gmail.com,72656086594,Saint Petersburg,,Boots,pending,96.04,NaT
62,Anna Ivanova,anna.ivanova@gmail.com,75201313620,Berlin,,Dress,paid,110.72,NaT
63,Anna Ivanova,anna.ivanova@example.com,555822858,Saint Petersburg,,Jacket,paid,64.68,NaT
64,Alex Brown,alex.brown@mail.com,3725554241,Moscow,,Dress,paid,60.19,NaT
65,Maria Petrova,maria.petrova@mail.com,74829062179,Saint Petersburg,2025-03-19,Jacket,cancelled,160.63,2025-03
66,John Smith,john.smith@gmail.com,555870214,Unknown,,Sneakers,pending,187.81,NaT
67,Anna Ivanova,anna.ivanova @gmail.com,555644173,Riga,2025-02-16,Dress,cancelled,116.4,2025-02
68,Kate Miller,kate.miller@example.com,3725556460,Saint Petersburg,,Boots,cancelled,170.18,NaT
69,Anna Ivanova,anna.ivanova@example.com,3725552442,Unknown,2025-04-14,Jacket,cancelled,138.08,2025-04
70,Anna Ivanova,anna.ivanova @gmail.com,555479353,Riga,,Jacket,paid,87.74,NaT
71,Anna Ivanova,anna.ivanova @gmail.com,72365835550,Moscow,,Jacket,paid,138.07,NaT
72,Maria Petrova,maria.petrova@example.com,555633590,Berlin,,Coat,cancelled,196.9,NaT
73,Alex Brown,alex.brown @gmail.com,555389666,Saint Petersburg,,Jeans,cancelled,118.21,NaT
74,Maria Petrova,maria.petrova@example.com,75777263354,Tallinn,,Bag,paid,198.23,NaT
75,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555145767,Moscow,,Jacket,paid,15.0,NaT
76,Maria Petrova,maria.petrova@mail.com,71891100776,Tallinn,,Coat,paid,161.1,NaT
77,Maxim Orlov,maxim.orlov@mail.com,77270110908,Berlin,,Boots,pending,124.35,NaT
78,Maxim Orlov,maxim.orlov@gmail.com,3725552121,Moscow,,Jacket,paid,105.05,NaT
79,Olga Sokolova,olga.sokolova@gmail.com,555440131,Saint Petersburg,,Boots,paid,124.59,NaT
80,Maria Petrova,maria.petrova @gmail.com,78035194895,Berlin,,Coat,paid,20.62,NaT
81,Maxim Orlov,maxim.orlov@mail.com,555367729,Moscow,2025-03-15,Jacket,pending,109.02,2025-03
82,Olga Sokolova,olga.sokolova@example.com,3725555097,Tallinn,,T-shirt,pending,137.86,NaT
83,Olga Sokolova,olga.sokolova@gmail.com,78624715092,Saint Petersburg,2025-01-13,Bag,pending,193.89,2025-01
84,Alex Brown,alex.brown @gmail.com,3725555106,Riga,2025-06-10,Sneakers,pending,94.09,2025-06
85,Maria Petrova,maria.petrova@gmail.com,3725555835,Tallinn,,Jeans,paid,79.58,NaT
86,Olga Sokolova,olga.sokolova@example.com,3725555835,Saint Petersburg,,Boots,cancelled,94.91,NaT
87,Kate Miller,kate.miller@gmail.com,3725557464,Saint Petersburg,,Boots,pending,165.77,NaT
88,John Smith,john.smith @gmail.com,72620283102,Saint Petersburg,2025-01-17,Boots,paid,136.44,2025-01
89,Maria Petrova,maria.petrova@gmail.com,3725551609,Moscow,,Boots,cancelled,93.51,NaT
90,Kate Miller,kate.miller@example.com,555535037,Saint Petersburg,,Sneakers,pending,145.66,NaT
91,Alex Brown,alex.brown@example.com,3725558285,Tallinn,,Sneakers,cancelled,124.85,NaT
92,Olga Sokolova,olga.sokolova @gmail.com,3725553001,Berlin,,Sneakers,paid,168.43,NaT
93,Kate Miller,kate.miller @gmail.com,3725553063,Saint Petersburg,,T-shirt,paid,84.9,NaT
94,Anna Ivanova,anna.ivanova@mail.com,3725553370,Moscow,2025-01-29,Sneakers,pending,103.62,2025-01
95,Alex Brown,,3725551258,Moscow,2025-04-18,Jacket,cancelled,100.39,2025-04
96,Kate Miller,kate.miller@gmail.com,72641863774,Moscow,2025-06-18,Sneakers,cancelled,46.82,2025-06
97,Ivan Kuznetsov,ivan.kuznetsov@example.com,3725552768,Moscow,2025-03-24,Jeans,cancelled,134.81,2025-03
98,Kate Miller,kate.miller@example.com,3725559692,Berlin,,Bag,cancelled,133.05,NaT
99,Maxim Orlov,maxim.orlov @gmail.com,555455395,Tallinn,2025-04-17,T-shirt,pending,120.26,2025-04
100,Kate Miller,kate.miller @gmail.com,555170394,Moscow,2025-01-25,Sneakers,cancelled,108.27,2025-01
101,Kate Miller,kate.miller@gmail.com,555470774,Saint Petersburg,,Coat,cancelled,49.23,NaT
102,Alex Brown,alex.brown@gmail.com,3725556736,Tallinn,2025-03-13,Sneakers,pending,98.97,2025-03
103,Anna Ivanova,anna.ivanova @gmail.com,555836833,Moscow,,Boots,paid,102.86,NaT
104,Maria Petrova,maria.petrova@gmail.com,555882354,Tallinn,,Jeans,pending,79.89,NaT
105,John Smith,,3725553549,Riga,,Jacket,cancelled,111.94,NaT
106,Olga Sokolova,olga.sokolova @gmail.com,3725559394,Riga,2025-03-14,Jeans,paid,140.2,2025-03
107,Alex Brown,alex.brown@example.com,3725551897,Moscow,,Sneakers,cancelled,214.31,NaT
108,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,79578252582,Moscow,,Boots,paid,128.73,NaT
109,Maxim Orlov,maxim.orlov@gmail.com,555703727,Tallinn,,Coat,cancelled,132.88,NaT
110,Kate Miller,kate.miller@gmail.com,555985506,Tallinn,,Jeans,pending,116.28,NaT
111,Alex Brown,alex.brown@mail.com,79079675280,Moscow,,Bag,paid,24.06,NaT
112,Maria Petrova,maria.petrova@mail.com,72587283948,Riga,,Jacket,cancelled,118.67,NaT
113,Kate Miller,kate.miller@mail.com,555561124,Berlin,,Sneakers,pending,123.01,NaT
114,John Smith,john.smith@mail.com,555573866,Moscow,,Boots,cancelled,243.16,NaT
115,Anna Ivanova,anna.ivanova@example.com,76893447569,Tallinn,,Dress,cancelled,110.38,NaT
116,Maria Petrova,maria.petrova@gmail.com,555841995,Tallinn,,Sneakers,pending,135.08,NaT
117,John Smith,john.smith@mail.com,555685066,Berlin,2025-03-06,Coat,pending,118.26,2025-03
118,John Smith,john.smith @gmail.com,71683446724,Tallinn,,Coat,cancelled,61.57,NaT
119,John Smith,john.smith@example.com,555479404,Riga,,Bag,paid,177.14,NaT
120,Maria Petrova,maria.petrova @gmail.com,79024330858,Berlin,,Coat,cancelled,157.6,NaT
121,Maria Petrova,maria.petrova @gmail.com,73876877928,Saint Petersburg,,Jacket,pending,159.55,NaT
122,Maxim Orlov,maxim.orlov @gmail.com,555350786,Riga,2025-06-23,Jeans,cancelled,74.53,2025-06
123,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555940181,Tallinn,2025-01-14,Dress,cancelled,190.14,2025-01
124,John Smith,john.smith@mail.com,555900185,Moscow,,Bag,cancelled,49.91,NaT
125,Kate Miller,kate.miller@gmail.com,555155843,Tallinn,,Dress,pending,149.34,NaT
126,Maria Petrova,maria.petrova @gmail.com,73569592370,Moscow,,Sneakers,pending,229.52,NaT
127,Alex Brown,alex.brown @gmail.com,555862560,Saint Petersburg,,Boots,cancelled,70.47,NaT
128,John Smith,john.smith@gmail.com,72302333490,Moscow,2025-05-12,Jeans,cancelled,91.69,2025-05
129,Anna Ivanova,anna.ivanova@mail.com,71789144223,Tallinn,,Dress,cancelled,124.98,NaT
130,Anna Ivanova,anna.ivanova@example.com,555145649,Moscow,2025-03-06,T-shirt,paid,94.83,2025-03
131,John Smith,john.smith@mail.com,72760786161,Moscow,2025-04-29,Coat,paid,42.47,2025-04
132,Maxim Orlov,maxim.orlov@gmail.com,555311383,Berlin,,Jacket,pending,123.43,NaT
133,Anna Ivanova,anna.ivanova @gmail.com,555474314,Tallinn,,Jacket,cancelled,66.88,NaT
134,Kate Miller,kate.miller @gmail.com,76431813987,Moscow,,Boots,paid,143.68,NaT
135,Olga Sokolova,olga.sokolova@mail.com,555183958,Tallinn,,Coat,cancelled,74.03,NaT
136,Kate Miller,kate.miller@example.com,555862120,Tallinn,,T-shirt,cancelled,197.5,NaT
137,Maria Petrova,maria.petrova@gmail.com,3725553339,Tallinn,,T-shirt,cancelled,80.84,NaT
138,Anna Ivanova,anna.ivanova @gmail.com,3725558371,Tallinn,,T-shirt,pending,103.9,NaT
139,Alex Brown,alex.brown@gmail.com,75094037570,Saint Petersburg,2025-04-10,Jacket,paid,160.68,2025-04
140,Olga Sokolova,olga.sokolova@example.com,3725554279,Tallinn,,T-shirt,paid,58.46,NaT
141,Olga Sokolova,olga.sokolova@mail.com,3725553580,Moscow,,T-shirt,cancelled,131.37,NaT
142,Kate Miller,kate.miller@example.com,3725553126,Riga,,Boots,cancelled,185.36,NaT
143,John Smith,john.smith @gmail.com,555773540,Berlin,2025-06-24,Coat,paid,39.63,2025-06
144,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,3725553034,Unknown,,T-shirt,cancelled,129.23,NaT
145,Olga Sokolova,olga.sokolova@gmail.com,3725555105,Moscow,,Coat,paid,132.99,NaT
146,Maria Petrova,maria.petrova@mail.com,3725551674,Saint Petersburg,2025-01-12,Bag,cancelled,159.09,2025-01
147,Anna Ivanova,anna.ivanova@example.com,3725559938,Moscow,,Sneakers,paid,58.15,NaT
148,Maxim Orlov,maxim.orlov@example.com,75171239466,Tallinn,,T-shirt,cancelled,53.98,NaT
149,Maria Petrova,maria.petrova@mail.com,3725559437,Saint Petersburg,,Coat,paid,146.1,NaT
150,Anna Ivanova,anna.ivanova@mail.com,3725557293,Saint Petersburg,2025-03-25,Coat,cancelled,134.85,2025-03
151,Maxim Orlov,maxim.orlov@example.com,555621530,Saint Petersburg,,T-shirt,paid,132.52,NaT
152,Anna Ivanova,anna.ivanova@mail.com,76316122432,Saint Petersburg,,T-shirt,cancelled,137.32,NaT
153,Kate Miller,kate.miller@gmail.com,75131005449,Riga,,Jeans,paid,86.0,NaT
154,Maria Petrova,maria.petrova@gmail.com,3725557453,Berlin,2025-02-20,Sneakers,paid,131.61,2025-02
155,Anna Ivanova,,71962750929,Berlin,,T-shirt,paid,134.65,NaT
156,Ivan Kuznetsov,ivan.kuznetsov@mail.com,76581349462,Moscow,,T-shirt,pending,84.28,NaT
157,John Smith,john.smith@example.com,72702653209,Berlin,,Bag,paid,213.29,NaT
158,Maxim Orlov,maxim.orlov @gmail.com,71632905061,Moscow,,Bag,paid,143.69,NaT
159,Maxim Orlov,maxim.orlov@mail.com,75170675398,Moscow,,Coat,cancelled,60.43,NaT
160,Alex Brown,alex.brown@mail.com,3725558837,Tallinn,2025-04-28,Jeans,cancelled,152.83,2025-04
161,Alex Brown,alex.brown @gmail.com,555685196,Riga,2025-03-15,T-shirt,cancelled,71.27,2025-03
162,Kate Miller,kate.miller@mail.com,555227794,Saint Petersburg,,Dress,pending,159.35,NaT
163,Maxim Orlov,maxim.orlov@mail.com,76608141858,Berlin,,Bag,paid,177.93,NaT
164,Anna Ivanova,anna.ivanova @gmail.com,555155040,Moscow,,Sneakers,cancelled,78.97,NaT
165,Maria Petrova,maria.petrova@example.com,555600641,Unknown,,Bag,cancelled,168.17,NaT
166,Anna Ivanova,anna.ivanova @gmail.com,555978292,Saint Petersburg,,Sneakers,paid,140.64,NaT
167,Olga Sokolova,olga.sokolova@gmail.com,3725556489,Moscow,,T-shirt,paid,161.1,NaT
168,Maxim Orlov,maxim.orlov@mail.com,555114768,Moscow,2025-05-26,Boots,cancelled,214.84,2025-05
169,Kate Miller,kate.miller@gmail.com,3725557567,Moscow,,Jeans,cancelled,107.73,NaT
170,Alex Brown,alex.brown@example.com,79886782080,Tallinn,,Bag,paid,82.31,NaT
171,John Smith,john.smith@example.com,3725556026,Saint Petersburg,,Bag,paid,75.52,NaT
172,Maxim Orlov,maxim.orlov @gmail.com,75899673770,Saint Petersburg,,Bag,paid,79.21,NaT
173,Maxim Orlov,maxim.orlov@mail.com,70481933114,Moscow,,Coat,pending,116.14,NaT
174,Maxim Orlov,maxim.orlov@gmail.com,3725554365,Riga,,Coat,cancelled,137.06,NaT
175,Ivan Kuznetsov,ivan.kuznetsov@example.com,77760642358,Moscow,,Bag,paid,133.83,NaT
176,Anna Ivanova,anna.ivanova@example.com,3725556644,Tallinn,,Coat,paid,161.36,NaT
177,Ivan Kuznetsov,ivan.kuznetsov@mail.com,555570325,Berlin,2025-01-21,Coat,pending,120.65,2025-01
178,John Smith,john.smith @gmail.com,72271361431,Saint Petersburg,,Jacket,cancelled,192.68,NaT
179,Ivan Kuznetsov,ivan.kuznetsov@example.com,3725554762,Moscow,,Sneakers,cancelled,106.77,NaT
180,Anna Ivanova,anna.ivanova @gmail.com,3725554376,Moscow,2025-04-25,Bag,paid,256.01,2025-04
181,Ivan Kuznetsov,,70242425303,Berlin,,T-shirt,pending,151.28,NaT
182,Alex Brown,alex.brown@mail.com,555792282,Berlin,,Coat,cancelled,77.14,NaT
183,Maxim Orlov,maxim.orlov@gmail.com,77178361487,Moscow,2025-03-23,Jeans,cancelled,66.46,2025-03
184,Maria Petrova,maria.petrova@example.com,75262814762,Berlin,,Boots,cancelled,144.12,NaT
185,Maria Petrova,maria.petrova@example.com,75168291913,Moscow,,Bag,paid,108.83,NaT
186,Olga Sokolova,olga.sokolova@example.com,555176319,Moscow,,Bag,paid,155.7,NaT
187,John Smith,john.smith@example.com,3725554974,Tallinn,,Jacket,cancelled,143.66,NaT
188,Kate Miller,kate.miller@mail.com,3725555285,Tallinn,,T-shirt,cancelled,116.36,NaT
189,Anna Ivanova,anna.ivanova @gmail.com,79709950871,Moscow,2025-05-29,Bag,pending,77.66,2025-05
190,Alex Brown,alex.brown@example.com,555623555,Moscow,2025-06-14,T-shirt,paid,44.26,2025-06
191,Maria Petrova,maria.petrova@example.com,74111301175,Moscow,,Sneakers,cancelled,97.67,NaT
192,Maria Petrova,maria.petrova @gmail.com,3725552113,Berlin,,Jacket,cancelled,162.82,NaT
193,Anna Ivanova,anna.ivanova@gmail.com,3725559719,Saint Petersburg,2025-05-16,Sneakers,cancelled,130.7,2025-05
194,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,3725552753,Unknown,2025-02-19,Jeans,cancelled,57.71,2025-02
195,John Smith,john.smith@mail.com,72426665919,Moscow,,Sneakers,paid,128.66,NaT
196,Ivan Kuznetsov,ivan.kuznetsov@example.com,72044426338,Riga,2025-01-03,Boots,pending,139.27,2025-01
197,John Smith,john.smith@gmail.com,555321686,Saint Petersburg,,Sneakers,paid,75.81,NaT
198,Kate Miller,kate.miller@gmail.com,3725554394,Berlin,,Boots,cancelled,127.69,NaT
199,Kate Miller,kate.miller@example.com,73110258855,Saint Petersburg,,Dress,pending,122.91,NaT
200,Ivan Kuznetsov,ivan.kuznetsov@mail.com,555764926,Unknown,,Boots,paid,62.85,NaT
201,Ivan Kuznetsov,,3725555839,Unknown,,Boots,pending,137.89,NaT
202,Kate Miller,kate.miller@gmail.com,555105447,Moscow,,Coat,cancelled,148.04,NaT
203,Maxim Orlov,maxim.orlov@example.com,74679877282,Tallinn,2025-01-24,Boots,paid,174.15,2025-01
204,Olga Sokolova,olga.sokolova@example.com,78953716239,Tallinn,2025-03-04,Coat,paid,172.69,2025-03
205,Olga Sokolova,olga.sokolova@mail.com,3725555397,Riga,,Dress,pending,51.12,NaT
206,Olga Sokolova,olga.sokolova @gmail.com,555722651,Tallinn,,T-shirt,cancelled,73.11,NaT
207,Kate Miller,kate.miller@example.com,555551533,Tallinn,2025-06-04,Coat,cancelled,145.75,2025-06
208,Kate Miller,kate.miller@mail.com,555703853,Tallinn,,T-shirt,paid,145.69,NaT
209,Alex Brown,alex.brown @gmail.com,555862538,Tallinn,2025-03-16,Jacket,paid,145.75,2025-03
210,Olga Sokolova,olga.sokolova @gmail.com,555790658,Berlin,,Jacket,cancelled,312.64,NaT
211,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,3725556890,Berlin,2025-06-18,Sneakers,cancelled,148.54,2025-06
212,Kate Miller,kate.miller@example.com,3725552735,Berlin,2025-05-11,Bag,cancelled,176.78,2025-05
213,Kate Miller,kate.miller@example.com,3725558586,Moscow,,Dress,paid,167.7,NaT
214,Kate Miller,kate.miller@mail.com,73368413994,Riga,,Jacket,pending,152.57,NaT
215,John Smith,john.smith@mail.com,3725551732,Moscow,2025-03-29,Bag,cancelled,104.24,2025-03
216,Maria Petrova,maria.petrova @gmail.com,555687044,Tallinn,,Boots,paid,157.95,NaT
217,Alex Brown,alex.brown@example.com,3725558037,Moscow,,Dress,cancelled,81.36,NaT
218,Maria Petrova,maria.petrova@mail.com,555306647,Tallinn,,Boots,cancelled,108.16,NaT
219,John Smith,john.smith@mail.com,77733575600,Tallinn,,Dress,paid,95.73,NaT
220,Olga Sokolova,olga.sokolova@gmail.com,72978287288,Berlin,,Boots,cancelled,124.09,NaT
221,Maria Petrova,maria.petrova@example.com,3725559804,Tallinn,,Jacket,paid,235.73,NaT
222,Kate Miller,kate.miller@gmail.com,555243167,Riga,,Jacket,paid,26.64,NaT
223,John Smith,john.smith@gmail.com,3725554613,Riga,,Jacket,cancelled,154.31,NaT
224,John Smith,john.smith@gmail.com,78550822977,Saint Petersburg,2025-01-11,Boots,paid,39.36,2025-01
225,Alex Brown,alex.brown@mail.com,3725551528,Saint Petersburg,,Bag,pending,96.4,NaT
226,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555922974,Moscow,,T-shirt,pending,174.45,NaT
227,Olga Sokolova,olga.sokolova@mail.com,3725559428,Moscow,,Coat,paid,123.21,NaT
228,Maria Petrova,maria.petrova@mail.com,3725555055,Tallinn,2025-05-28,Boots,cancelled,66.11,2025-05
229,John Smith,john.smith@gmail.com,77515344013,Tallinn,,Sneakers,paid,84.23,NaT
230,Maxim Orlov,maxim.orlov@mail.com,3725552037,Tallinn,,Jeans,pending,153.98,NaT
231,Maria Petrova,maria.petrova@example.com,3725556631,Riga,2025-01-26,Sneakers,paid,83.48,2025-01
232,Maria Petrova,maria.petrova@example.com,71837384013,Saint Petersburg,2025-02-03,Dress,pending,130.82,2025-02
233,Olga Sokolova,olga.sokolova@gmail.com,555796787,Unknown,,Boots,paid,122.28,NaT
234,John Smith,john.smith@gmail.com,70334744286,Moscow,2025-02-27,Sneakers,pending,87.42,2025-02
235,John Smith,john.smith@example.com,555600905,Moscow,2025-01-23,T-shirt,pending,227.2,2025-01
236,Olga Sokolova,olga.sokolova @gmail.com,73755937285,Berlin,,Sneakers,paid,151.7,NaT
237,Maxim Orlov,maxim.orlov@mail.com,555758589,Saint Petersburg,2025-06-07,Dress,paid,18.74,2025-06
238,Maria Petrova,maria.petrova@gmail.com,555468611,Moscow,,Bag,cancelled,129.32,NaT
239,Olga Sokolova,olga.sokolova@gmail.com,72188382776,Saint Petersburg,,Jacket,cancelled,86.91,NaT
240,John Smith,john.smith @gmail.com,72550908958,Moscow,,Boots,cancelled,162.62,NaT
241,Kate Miller,kate.miller @gmail.com,70313497572,Moscow,,Sneakers,cancelled,80.37,NaT
242,Olga Sokolova,olga.sokolova@example.com,71727768349,Saint Petersburg,2025-05-18,Dress,pending,114.26,2025-05
243,John Smith,john.smith @gmail.com,75698349136,Moscow,2025-06-12,Jeans,cancelled,145.25,2025-06
244,Alex Brown,alex.brown@gmail.com,3725555005,Saint Petersburg,2025-04-27,Coat,paid,163.29,2025-04
245,Anna Ivanova,anna.ivanova @gmail.com,555271790,Saint Petersburg,2025-02-02,Dress,paid,59.99,2025-02
246,Kate Miller,kate.miller@example.com,74569295400,Riga,2025-05-28,T-shirt,paid,103.27,2025-05
247,Maxim Orlov,maxim.orlov @gmail.com,3725557024,Moscow,,Bag,paid,96.25,NaT
248,Maxim Orlov,maxim.orlov@mail.com,78741819989,Saint Petersburg,,Boots,pending,87.33,NaT
249,Olga Sokolova,olga.sokolova@gmail.com,3725557108,Tallinn,2025-02-27,Dress,cancelled,208.27,2025-02
250,Olga Sokolova,olga.sokolova@mail.com,3725556362,Saint Petersburg,,Bag,cancelled,140.25,NaT
251,Kate Miller,kate.miller@example.com,3725554201,Tallinn,,Sneakers,pending,56.96,NaT
252,Anna Ivanova,anna.ivanova@example.com,3725556038,Moscow,,Jeans,paid,165.89,NaT
253,Anna Ivanova,anna.ivanova @gmail.com,75894808149,Moscow,2025-01-22,Boots,paid,226.11,2025-01
254,Anna Ivanova,anna.ivanova@example.com,555348273,Tallinn,2025-04-11,T-shirt,cancelled,171.62,2025-04
255,Olga Sokolova,olga.sokolova @gmail.com,3725552223,Tallinn,,Dress,cancelled,44.03,NaT
256,Kate Miller,kate.miller @gmail.com,3725558404,Saint Petersburg,,Sneakers,paid,95.79,NaT
257,Kate Miller,kate.miller @gmail.com,75822870815,Moscow,2025-01-13,Sneakers,cancelled,183.35,2025-01
258,Maxim Orlov,maxim.orlov @gmail.com,3725552551,Saint Petersburg,,Coat,paid,84.62,NaT
259,Ivan Kuznetsov,ivan.kuznetsov@mail.com,3725552376,Riga,,Coat,paid,142.19,NaT
260,Kate Miller,kate.miller@gmail.com,70217487269,Moscow,2025-04-21,Boots,cancelled,158.73,2025-04
261,Maria Petrova,maria.petrova@mail.com,555296242,Berlin,,Bag,pending,73.65,NaT
262,Maxim Orlov,maxim.orlov@example.com,555163941,Berlin,,Bag,cancelled,117.02,NaT
263,Anna Ivanova,,76376649850,Moscow,,Sneakers,pending,15.0,NaT
264,Alex Brown,alex.brown@gmail.com,3725555602,Moscow,,Bag,cancelled,68.78,NaT
265,Kate Miller,kate.miller @gmail.com,76839819230,Moscow,,T-shirt,paid,107.37,NaT
266,Alex Brown,,3725559882,Saint Petersburg,,Sneakers,cancelled,57.61,NaT
