order_id,customer_name,email,phone,city,order_date,product,status,amount
145,Olga Sokolova,olga.sokolova@gmail.com,+372 555 5105,moscow,10/06/2025,Coat,PAID,132.99
146,Maria Petrova,maria.petrova@mail.com ,+372 555 1674,SPB,01-12-2025,Bag,cancelled,159.09
147,Anna Ivanova,anna.ivanova@example.com,+372 555 9938,moscow,25/06/2025,Sneakers,PAID,58.15
148,Maxim Orlov,maxim.orlov@example.com,  75171239466,Tallinn,06/02/2025,T-shirt,cancelled,53.98
149,Maria Petrova,maria.petrova@mail.com ,+372 555 9437,Saint Petersburg,2025-04-30,Coat,Paid,146.1
150,Anna Ivanova,anna.ivanova@mail.com ,+372 555 7293,Saint Petersburg,03-25-2025,Coat,Canceled,134.85
151,Maxim Orlov,maxim.orlov@example.com,555-621530,Saint Petersburg,10/05/2025,T-shirt,paid,132.52
152,Anna Ivanova,anna.ivanova@mail.com ,  76316122432,SPB,2025-01-03,T-shirt,cancelled,137.32
153,Kate Miller,kate.miller@gmail.com,  75131005449,Riga,2025-03-15,Jeans,Paid,86.0
154,Maria Petrova,maria.petrova@gmail.com,+372 555 7453,Berlin,02-20-2025,Sneakers,paid,131.61
155,Anna Ivanova,,  71962750929,berlin,2025-05-12,T-shirt,PAID,134.65
156,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,  76581349462,Moscow,25/05/2025,T-shirt,Pending,84.28
157,John Smith,john.smith@example.com,  72702653209,berlin,02/05/2025,Bag,paid,213.29
158,Maxim Orlov,maxim.orlov @gmail.com,  71632905061,moscow,2025-03-04,Bag,paid,143.69
159,Maxim Orlov,maxim.orlov@mail.com ,  75170675398,Moscow,06/06/2025,Coat,cancelled ,60.43
160,Alex Brown,alex.brown@mail.com ,+372 555 8837,Tallinn,04-28-2025,Jeans,Canceled,152.83
161,Alex Brown,alex.brown @gmail.com,555-685196,Riga,03-15-2025,T-shirt,Canceled,71.27
162,Kate Miller,kate.miller@mail.com ,555-227794,SPB,2025-03-30,Dress,Pending,159.35
163,Maxim Orlov,maxim.orlov@mail.com ,  76608141858,berlin,28/06/2025,Bag,оплачен,177.93
164,Anna Ivanova,anna.ivanova @gmail.com,555-155040,Москва,2025-05-01,Sneakers,cancelled ,78.97
165,Maria Petrova,maria.petrova@example.com,555-600641,,24/03/2025,Bag,cancelled ,168.17
166,Anna Ivanova,anna.ivanova @gmail.com,555-978292,SPB,2025-05-07,Sneakers,paid,140.64
167,Olga Sokolova,olga.sokolova@gmail.com,+372 555 6489,moscow,10/05/2025,T-shirt,PAID,161.1
168,Maxim Orlov,maxim.orlov@mail.com ,555-114768,Москва,05-26-2025,Boots,cancelled,214.84
169,Kate Miller,kate.miller@gmail.com,+372 555 7567,Moscow,03/05/2025,Jeans,cancelled,107.73
170,Alex Brown,alex.brown@example.com,  79886782080,Tallinn,2025-05-27,Bag,paid,82.31
171,John Smith,john.smith@example.com,+372 555 6026,Saint Petersburg,13/06/2025,Bag,PAID,75.52
172,Maxim Orlov,maxim.orlov @gmail.com,  75899673770,Saint Petersburg,21/05/2025,Bag,Paid,79.21
173,Maxim Orlov,maxim.orlov@mail.com ,  70481933114,Москва,2025-05-10,Coat,Pending,116.14
174,Maxim Orlov,maxim.orlov@gmail.com,+372 555 4365,Riga,11/05/2025,Coat,cancelled ,137.06
175,Ivan Kuznetsov,ivan.kuznetsov@example.com,  77760642358,Moscow,06/01/2025,Bag,Paid,133.83
176,Anna Ivanova,anna.ivanova@example.com,+372 555 6644,tallin,18/01/2025,Coat,PAID,"161,36"
177,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,555-570325,Berlin,01-21-2025,Coat,Pending,120.65
178,John Smith,john.smith @gmail.com,  72271361431,SPB,2025-02-27,Jacket,cancelled ,192.68
179,Ivan Kuznetsov,ivan.kuznetsov@example.com,+372 555 4762,moscow,2025-03-12,Sneakers,cancelled,106.77
180,Anna Ivanova,anna.ivanova @gmail.com,+372 555 4376,Moscow,04-25-2025,Bag,paid,256.01
181,Ivan Kuznetsov,,  70242425303,berlin,2025-03-16,T-shirt,Pending,151.28
182,Alex Brown,alex.brown@mail.com ,555-792282,berlin,18/03/2025,Coat,cancelled,"77,14"
183,Maxim Orlov,maxim.orlov@gmail.com,  77178361487,Москва,03-23-2025,Jeans,cancelled,66.46
184,Maria Petrova,maria.petrova@example.com,  75262814762,Berlin,06/02/2025,Boots,cancelled,144.12
185,Maria Petrova,maria.petrova@example.com,  75168291913,moscow,21/01/2025,Bag,paid,108.83
186,Olga Sokolova,olga.sokolova@example.com,555-176319,Moscow,23/02/2025,Bag,оплачен,155.7
187,John Smith,john.smith@example.com,+372 555 4974,tallin,22/05/2025,Jacket,cancelled ,143.66
188,Kate Miller,kate.miller@mail.com ,+372 555 5285,Tallinn,01/05/2025,T-shirt,cancelled,116.36
189,Anna Ivanova,anna.ivanova @gmail.com,  79709950871,Москва,05-29-2025,Bag,Pending,77.66
190,Alex Brown,alex.brown@example.com,555-623555,Москва,06-14-2025,T-shirt,PAID,44.26
191,Maria Petrova,maria.petrova@example.com,  74111301175,Moscow,2025-01-09,Sneakers,cancelled,97.67
192,Maria Petrova,maria.petrova @gmail.com,+372 555 2113,berlin,10/05/2025,Jacket,Canceled,162.82
193,Anna Ivanova,anna.ivanova@gmail.com,+372 555 9719,SPB,05-16-2025,Sneakers,cancelled ,130.7
194,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,+372 555 2753,,02-19-2025,Jeans,cancelled,57.71
195,John Smith,john.smith@mail.com ,  72426665919,moscow,27/02/2025,Sneakers,Paid,128.66
196,Ivan Kuznetsov,ivan.kuznetsov@example.com,  72044426338,Riga,01-03-2025,Boots,Pending,139.27
197,John Smith,john.smith@gmail.com,555-321686,SPB,2025-01-12,Sneakers,PAID,75.81
198,Kate Miller,kate.miller@gmail.com,+372 555 4394,berlin,2025-03-18,Boots,cancelled ,127.69
199,Kate Miller,kate.miller@example.com,  73110258855,Saint Petersburg,2025-03-30,Dress,Pending,122.91
200,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,555-764926,,28/02/2025,Boots,PAID,62.85
201,Ivan Kuznetsov,,+372 555 5839,,22/01/2025,Boots,Pending,137.89
202,Kate Miller,kate.miller@gmail.com,555-105447,moscow,03/04/2025,Coat,cancelled,148.04
203,Maxim Orlov,maxim.orlov@example.com,  74679877282,Tallinn,01-24-2025,Boots,paid,174.15
204,Olga Sokolova,olga.sokolova@example.com,  78953716239,tallin,03-04-2025,Coat,PAID,172.69
205,Olga Sokolova,olga.sokolova@mail.com ,+372 555 5397,Riga,22/04/2025,Dress,Pending,51.12
206,Olga Sokolova,olga.sokolova @gmail.com,555-722651,tallin,2025-01-28,T-shirt,cancelled,73.11
207,Kate Miller,kate.miller@example.com,555-551533,Tallinn,06-04-2025,Coat,cancelled,145.75
208,Kate Miller,kate.miller@mail.com ,555-703853,tallin,07/04/2025,T-shirt,Paid,145.69
209,Alex Brown,alex.brown @gmail.com,555-862538,tallin,03-16-2025,Jacket,PAID,"145,75"
210,Olga Sokolova,olga.sokolova @gmail.com,555-790658,berlin,2025-04-07,Jacket,cancelled,312.64
211,Ivan Kuznetsov,ivan.kuznetsov@gmail.com,+372 555 6890,berlin,06-18-2025,Sneakers,cancelled,148.54
212,Kate Miller,kate.miller@example.com,+372 555 2735,berlin,05-11-2025,Bag,Canceled,176.78
213,Kate Miller,kate.miller@example.com,+372 555 8586,moscow,2025-05-04,Dress,PAID,167.7
214,Kate Miller,kate.miller@mail.com ,  73368413994,Riga,04/05/2025,Jacket,Pending,152.57
215,John Smith,john.smith@mail.com ,+372 555 1732,Москва,03-29-2025,Bag,cancelled ,104.24
216,Maria Petrova,maria.petrova @gmail.com,555-687044,tallin,2025-06-11,Boots,paid,157.95
217,Alex Brown,alex.brown@example.com,+372 555 8037,moscow,22/02/2025,Dress,cancelled ,81.36
218,Maria Petrova,maria.petrova@mail.com ,555-306647,Tallinn,21/06/2025,Boots,cancelled,108.16
219,John Smith,john.smith@mail.com ,  77733575600,Tallinn,2025-06-01,Dress,оплачен,95.73
220,Olga Sokolova,olga.sokolova@gmail.com,  72978287288,berlin,10/04/2025,Boots,cancelled,124.09
221,Maria Petrova,maria.petrova@example.com,+372 555 9804,Tallinn,06/05/2025,Jacket,paid,235.73
222,Kate Miller,kate.miller@gmail.com,555-243167,Riga,25/06/2025,Jacket,PAID,26.64
223,John Smith,john.smith@gmail.com,+372 555 4613,Riga,18/05/2025,Jacket,cancelled ,154.31
224,John Smith,john.smith@gmail.com,  78550822977,Saint Petersburg,01-11-2025,Boots,Paid,39.36
225,Alex Brown,alex.brown@mail.com ,+372 555 1528,Saint Petersburg,2025-04-23,Bag,Pending,96.4
226,Ivan Kuznetsov,ivan.kuznetsov @gmail.com,555-922974,Москва,17/05/2025,T-shirt,pending,174.45
227,Olga Sokolova,olga.sokolova@mail.com ,+372 555 9428,Москва,2025-04-16,Coat,оплачен,123.21
228,Maria Petrova,maria.petrova@mail.com ,+372 555 5055,tallin,05-28-2025,Boots,Canceled,66.11
229,John Smith,john.smith@gmail.com,  77515344013,Tallinn,05/04/2025,Sneakers,Paid,84.23
230,Maxim Orlov,maxim.orlov@mail.com ,+372 555 2037,Tallinn,2025-04-20,Jeans,Pending,153.98
231,Maria Petrova,maria.petrova@example.com,+372 555 6631,Riga,01-26-2025,Sneakers,Paid,83.48
232,Maria Petrova,maria.petrova@example.com,  71837384013,SPB,02-03-2025,Dress,Pending,130.82
233,Olga Sokolova,olga.sokolova@gmail.com,555-796787,,10/06/2025,Boots,Paid,122.28
234,John Smith,john.smith@gmail.com,  70334744286,Moscow,02-27-2025,Sneakers,Pending,87.42
235,John Smith,john.smith@example.com,555-600905,moscow,01-23-2025,T-shirt,Pending,227.2
236,Olga Sokolova,olga.sokolova @gmail.com,  73755937285,berlin,2025-06-23,Sneakers,PAID,"151,7"
237,Maxim Orlov,maxim.orlov@mail.com ,555-758589,Saint Petersburg,06-07-2025,Dress,Paid,18.74
238,Maria Petrova,maria.petrova@gmail.com,555-468611,moscow,2025-02-05,Bag,cancelled ,129.32
239,Olga Sokolova,olga.sokolova@gmail.com,  72188382776,Saint Petersburg,11/04/2025,Jacket,cancelled,86.91
240,John Smith,john.smith @gmail.com,  72550908958,Москва,04/01/2025,Boots,cancelled,162.62
241,Kate Miller,kate.miller @gmail.com,  70313497572,Moscow,2025-01-18,Sneakers,cancelled,80.37
242,Olga Sokolova,olga.sokolova@example.com,  71727768349,SPB,05-18-2025,Dress,pending,114.26
243,John Smith,john.smith @gmail.com,  75698349136,moscow,06-12-2025,Jeans,cancelled,145.25
244,Alex Brown,alex.brown@gmail.com,+372 555 5005,SPB,04-27-2025,Coat,Paid,163.29
245,Anna Ivanova,anna.ivanova @gmail.com,555-271790,SPB,02-02-2025,Dress,paid,59.99
246,Kate Miller,kate.miller@example.com,  74569295400,Riga,05-28-2025,T-shirt,paid,"103,27"
247,Maxim Orlov,maxim.orlov @gmail.com,+372 555 7024,Moscow,2025-05-11,Bag,paid,"96,25"
248,Maxim Orlov,maxim.orlov@mail.com ,  78741819989,Saint Petersburg,17/06/2025,Boots,Pending,87.33
249,Olga Sokolova,olga.sokolova@gmail.com,+372 555 7108,tallin,02-27-2025,Dress,Canceled,208.27
250,Olga Sokolova,olga.sokolova@mail.com ,+372 555 6362,SPB,2025-04-05,Bag,Canceled,140.25
251,Kate Miller,kate.miller@example.com,+372 555 4201,Tallinn,2025-04-15,Sneakers,Pending,56.96
252,Anna Ivanova,anna.ivanova@example.com,+372 555 6038,Москва,18/04/2025,Jeans,Paid,165.89
253,Anna Ivanova,anna.ivanova @gmail.com,  75894808149,Москва,01-22-2025,Boots,Paid,226.11
254,Anna Ivanova,anna.ivanova@example.com,555-348273,Tallinn,04-11-2025,T-shirt,Canceled,171.62
255,Olga Sokolova,olga.sokolova @gmail.com,+372 555 2223,tallin,12/02/2025,Dress,cancelled ,44.03
256,Kate Miller,kate.miller @gmail.com,+372 555 8404,SPB,2025-01-24,Sneakers,оплачен,95.79
257,Kate Miller,kate.miller @gmail.com,  75822870815,Москва,01-13-2025,Sneakers,cancelled,183.35
258,Maxim Orlov,maxim.orlov @gmail.com,+372 555 2551,Saint Petersburg,2025-01-04,Coat,оплачен,84.62
259,Ivan Kuznetsov,ivan.kuznetsov@mail.com ,+372 555 2376,Riga,2025-01-06,Coat,Paid,142.19
